"","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PS/G"
"1","1","Russell Westbrook","PG","28","OKC","81","81","34.6","10.2","24.0",".425","2.5","7.2",".343","7.7","16.8",".459",".476","8.8","10.4",".845","1.7","9.0","10.7","10.4","1.6","0.4","5.4","2.3","31.6"
"2","2","James Harden","PG","27","HOU","81","81","36.4","8.3","18.9",".440","3.2","9.3",".347","5.1","9.6",".530",".525","9.2","10.9",".847","1.2","7.0","8.1","11.2","1.5","0.5","5.7","2.7","29.1"
"3","3","Isaiah Thomas","PG","27","BOS","76","76","33.8","9.0","19.4",".463","3.2","8.5",".379","5.8","10.9",".528",".546","7.8","8.5",".909","0.6","2.1","2.7","5.9","0.9","0.2","2.8","2.2","28.9"
"4","4","Anthony Davis","C","23","NOP","75","75","36.1","10.3","20.3",".505","0.5","1.8",".299","9.7","18.6",".524",".518","6.9","8.6",".802","2.3","9.5","11.8","2.1","1.3","2.2","2.4","2.2","28.0"
"5","5","DeMarcus Cousins","C","26","SAC","55","55","34.4","9.2","20.3",".452","1.7","4.9",".356","7.5","15.5",".482",".494","7.7","10.0",".770","2.1","8.5","10.6","4.8","1.4","1.3","3.8","3.7","27.8"
"6","6","DeMar DeRozan","SG","27","TOR","74","74","35.4","9.7","20.9",".467","0.4","1.7",".266","9.3","19.2",".484",".477","7.4","8.7",".842","0.9","4.3","5.2","3.9","1.1","0.2","2.4","1.8","27.3"
"7","7","DeMarcus Cousins","C","26","TOT","72","72","34.2","9.0","19.9",".452","1.8","5.0",".361","7.2","14.8",".483",".498","7.2","9.3",".772","2.1","8.9","11.0","4.6","1.4","1.3","3.7","3.9","27.0"
"8","8","Damian Lillard","PG","26","POR","75","75","35.9","8.8","19.8",".444","2.9","7.7",".370","6.0","12.1",".492",".516","6.5","7.3",".895","0.6","4.3","4.9","5.9","0.9","0.3","2.6","2.0","27.0"
"9","9","LeBron James","SF","32","CLE","74","74","37.8","9.9","18.2",".548","1.7","4.6",".363","8.3","13.5",".611",".594","4.8","7.2",".674","1.3","7.3","8.6","8.7","1.2","0.6","4.1","1.8","26.4"
"10","10","Kawhi Leonard","SF","25","SAS","74","74","33.4","8.6","17.7",".485","2.0","5.2",".380","6.6","12.5",".529",".541","6.3","7.2",".880","1.1","4.7","5.8","3.5","1.8","0.7","2.1","1.6","25.5"
