"","Team","G","Date","X3","Opponent","X5","X6","Tm","Opp","W","L","Streak","Notes"
"1","Golden State Warriors",1,"Tue Oct 25 2016",NA,"San Antonio Spurs","L",NA,100,129,0,1,"L 1",NA
"2","Golden State Warriors",2,"Fri Oct 28 2016","@","New Orleans Pelicans","W",NA,122,114,1,1,"W 1",NA
"3","Golden State Warriors",3,"Sun Oct 30 2016","@","Phoenix Suns","W",NA,106,100,2,1,"W 2",NA
"4","Golden State Warriors",4,"Tue Nov 1 2016","@","Portland Trail Blazers","W",NA,127,104,3,1,"W 3",NA
"5","Golden State Warriors",5,"Thu Nov 3 2016",NA,"Oklahoma City Thunder","W",NA,122,96,4,1,"W 4",NA
"6","Golden State Warriors",6,"Fri Nov 4 2016","@","Los Angeles Lakers","L",NA,97,117,4,2,"L 1",NA
"7","Golden State Warriors",7,"Mon Nov 7 2016",NA,"New Orleans Pelicans","W",NA,116,106,5,2,"W 1",NA
"8","Golden State Warriors",8,"Wed Nov 9 2016",NA,"Dallas Mavericks","W",NA,116,95,6,2,"W 2",NA
"9","Golden State Warriors",9,"Thu Nov 10 2016","@","Denver Nuggets","W",NA,125,101,7,2,"W 3",NA
"10","Golden State Warriors",10,"Sun Nov 13 2016",NA,"Phoenix Suns","W",NA,133,120,8,2,"W 4",NA
"11","Golden State Warriors",11,"Wed Nov 16 2016","@","Toronto Raptors","W",NA,127,121,9,2,"W 5",NA
"12","Golden State Warriors",12,"Fri Nov 18 2016","@","Boston Celtics","W",NA,104,88,10,2,"W 6",NA
"13","Golden State Warriors",13,"Sat Nov 19 2016","@","Milwaukee Bucks","W",NA,124,121,11,2,"W 7",NA
"14","Golden State Warriors",14,"Mon Nov 21 2016","@","Indiana Pacers","W",NA,120,83,12,2,"W 8",NA
"15","Golden State Warriors",15,"Wed Nov 23 2016",NA,"Los Angeles Lakers","W",NA,149,106,13,2,"W 9",NA
"16","Golden State Warriors",16,"Fri Nov 25 2016","@","Los Angeles Lakers","W",NA,109,85,14,2,"W 10",NA
"17","Golden State Warriors",17,"Sat Nov 26 2016",NA,"Minnesota Timberwolves","W",NA,115,102,15,2,"W 11",NA
"18","Golden State Warriors",18,"Mon Nov 28 2016",NA,"Atlanta Hawks","W",NA,105,100,16,2,"W 12",NA
"19","Golden State Warriors",19,"Thu Dec 1 2016",NA,"Houston Rockets","L","2OT",127,132,16,3,"L 1",NA
"20","Golden State Warriors",20,"Sat Dec 3 2016",NA,"Phoenix Suns","W",NA,138,109,17,3,"W 1",NA
"21","Golden State Warriors",21,"Mon Dec 5 2016",NA,"Indiana Pacers","W",NA,142,106,18,3,"W 2",NA
"22","Golden State Warriors",22,"Wed Dec 7 2016","@","Los Angeles Clippers","W",NA,115,98,19,3,"W 3",NA
"23","Golden State Warriors",23,"Thu Dec 8 2016","@","Utah Jazz","W",NA,106,99,20,3,"W 4",NA
"24","Golden State Warriors",24,"Sat Dec 10 2016","@","Memphis Grizzlies","L",NA,89,110,20,4,"L 1",NA
"25","Golden State Warriors",25,"Sun Dec 11 2016","@","Minnesota Timberwolves","W",NA,116,108,21,4,"W 1",NA
"26","Golden State Warriors",26,"Tue Dec 13 2016","@","New Orleans Pelicans","W",NA,113,109,22,4,"W 2",NA
"27","Golden State Warriors",27,"Thu Dec 15 2016",NA,"New York Knicks","W",NA,103,90,23,4,"W 3",NA
"28","Golden State Warriors",28,"Sat Dec 17 2016",NA,"Portland Trail Blazers","W",NA,135,90,24,4,"W 4",NA
"29","Golden State Warriors",29,"Tue Dec 20 2016",NA,"Utah Jazz","W",NA,104,74,25,4,"W 5",NA
"30","Golden State Warriors",30,"Thu Dec 22 2016","@","Brooklyn Nets","W",NA,117,101,26,4,"W 6",NA
"31","Golden State Warriors",31,"Fri Dec 23 2016","@","Detroit Pistons","W",NA,119,113,27,4,"W 7",NA
"32","Golden State Warriors",32,"Sun Dec 25 2016","@","Cleveland Cavaliers","L",NA,108,109,27,5,"L 1",NA
"33","Golden State Warriors",33,"Wed Dec 28 2016",NA,"Toronto Raptors","W",NA,121,111,28,5,"W 1",NA
"34","Golden State Warriors",34,"Fri Dec 30 2016",NA,"Dallas Mavericks","W",NA,108,99,29,5,"W 2",NA
"35","Golden State Warriors",35,"Mon Jan 2 2017",NA,"Denver Nuggets","W",NA,127,119,30,5,"W 3",NA
"36","Golden State Warriors",36,"Wed Jan 4 2017",NA,"Portland Trail Blazers","W",NA,125,117,31,5,"W 4",NA
"37","Golden State Warriors",37,"Fri Jan 6 2017",NA,"Memphis Grizzlies","L","OT",119,128,31,6,"L 1",NA
"38","Golden State Warriors",38,"Sun Jan 8 2017","@","Sacramento Kings","W",NA,117,106,32,6,"W 1",NA
"39","Golden State Warriors",39,"Tue Jan 10 2017",NA,"Miami Heat","W",NA,107,95,33,6,"W 2",NA
"40","Golden State Warriors",40,"Thu Jan 12 2017",NA,"Detroit Pistons","W",NA,127,107,34,6,"W 3",NA
"41","Golden State Warriors",41,"Mon Jan 16 2017",NA,"Cleveland Cavaliers","W",NA,126,91,35,6,"W 4",NA
"42","Golden State Warriors",42,"Wed Jan 18 2017",NA,"Oklahoma City Thunder","W",NA,121,100,36,6,"W 5",NA
"43","Golden State Warriors",43,"Fri Jan 20 2017","@","Houston Rockets","W",NA,125,108,37,6,"W 6",NA
"44","Golden State Warriors",44,"Sun Jan 22 2017","@","Orlando Magic","W",NA,118,98,38,6,"W 7",NA
"45","Golden State Warriors",45,"Mon Jan 23 2017","@","Miami Heat","L",NA,102,105,38,7,"L 1",NA
"46","Golden State Warriors",46,"Wed Jan 25 2017","@","Charlotte Hornets","W",NA,113,103,39,7,"W 1",NA
"47","Golden State Warriors",47,"Sat Jan 28 2017",NA,"Los Angeles Clippers","W",NA,144,98,40,7,"W 2",NA
"48","Golden State Warriors",48,"Sun Jan 29 2017","@","Portland Trail Blazers","W",NA,113,111,41,7,"W 3",NA
"49","Golden State Warriors",49,"Wed Feb 1 2017",NA,"Charlotte Hornets","W",NA,126,111,42,7,"W 4",NA
"50","Golden State Warriors",50,"Thu Feb 2 2017","@","Los Angeles Clippers","W",NA,133,120,43,7,"W 5",NA
"51","Golden State Warriors",51,"Sat Feb 4 2017","@","Sacramento Kings","L","OT",106,109,43,8,"L 1",NA
"52","Golden State Warriors",52,"Wed Feb 8 2017",NA,"Chicago Bulls","W",NA,123,92,44,8,"W 1",NA
"53","Golden State Warriors",53,"Fri Feb 10 2017","@","Memphis Grizzlies","W",NA,122,107,45,8,"W 2",NA
"54","Golden State Warriors",54,"Sat Feb 11 2017","@","Oklahoma City Thunder","W",NA,130,114,46,8,"W 3",NA
"55","Golden State Warriors",55,"Mon Feb 13 2017","@","Denver Nuggets","L",NA,110,132,46,9,"L 1",NA
"56","Golden State Warriors",56,"Wed Feb 15 2017",NA,"Sacramento Kings","W",NA,109,86,47,9,"W 1",NA
"57","Golden State Warriors",57,"Thu Feb 23 2017",NA,"Los Angeles Clippers","W",NA,123,113,48,9,"W 2",NA
"58","Golden State Warriors",58,"Sat Feb 25 2017",NA,"Brooklyn Nets","W",NA,112,95,49,9,"W 3",NA
"59","Golden State Warriors",59,"Mon Feb 27 2017","@","Philadelphia 76ers","W",NA,119,108,50,9,"W 4",NA
"60","Golden State Warriors",60,"Tue Feb 28 2017","@","Washington Wizards","L",NA,108,112,50,10,"L 1",NA
"61","Golden State Warriors",61,"Thu Mar 2 2017","@","Chicago Bulls","L",NA,87,94,50,11,"L 2",NA
"62","Golden State Warriors",62,"Sun Mar 5 2017","@","New York Knicks","W",NA,112,105,51,11,"W 1",NA
"63","Golden State Warriors",63,"Mon Mar 6 2017","@","Atlanta Hawks","W",NA,119,111,52,11,"W 2",NA
"64","Golden State Warriors",64,"Wed Mar 8 2017",NA,"Boston Celtics","L",NA,86,99,52,12,"L 1",NA
"65","Golden State Warriors",65,"Fri Mar 10 2017","@","Minnesota Timberwolves","L",NA,102,103,52,13,"L 2",NA
"66","Golden State Warriors",66,"Sat Mar 11 2017","@","San Antonio Spurs","L",NA,85,107,52,14,"L 3",NA
"67","Golden State Warriors",67,"Tue Mar 14 2017",NA,"Philadelphia 76ers","W",NA,106,104,53,14,"W 1",NA
"68","Golden State Warriors",68,"Thu Mar 16 2017",NA,"Orlando Magic","W",NA,122,92,54,14,"W 2",NA
"69","Golden State Warriors",69,"Sat Mar 18 2017",NA,"Milwaukee Bucks","W",NA,117,92,55,14,"W 3",NA
"70","Golden State Warriors",70,"Mon Mar 20 2017","@","Oklahoma City Thunder","W",NA,111,95,56,14,"W 4",NA
"71","Golden State Warriors",71,"Tue Mar 21 2017","@","Dallas Mavericks","W",NA,112,87,57,14,"W 5",NA
"72","Golden State Warriors",72,"Fri Mar 24 2017",NA,"Sacramento Kings","W",NA,114,100,58,14,"W 6",NA
"73","Golden State Warriors",73,"Sun Mar 26 2017",NA,"Memphis Grizzlies","W",NA,106,94,59,14,"W 7",NA
"74","Golden State Warriors",74,"Tue Mar 28 2017","@","Houston Rockets","W",NA,113,106,60,14,"W 8",NA
"75","Golden State Warriors",75,"Wed Mar 29 2017","@","San Antonio Spurs","W",NA,110,98,61,14,"W 9",NA
"76","Golden State Warriors",76,"Fri Mar 31 2017",NA,"Houston Rockets","W",NA,107,98,62,14,"W 10",NA
"77","Golden State Warriors",77,"Sun Apr 2 2017",NA,"Washington Wizards","W",NA,139,115,63,14,"W 11",NA
"78","Golden State Warriors",78,"Tue Apr 4 2017",NA,"Minnesota Timberwolves","W",NA,121,107,64,14,"W 12",NA
"79","Golden State Warriors",79,"Wed Apr 5 2017","@","Phoenix Suns","W",NA,120,111,65,14,"W 13",NA
"80","Golden State Warriors",80,"Sat Apr 8 2017",NA,"New Orleans Pelicans","W",NA,123,101,66,14,"W 14",NA
"81","Golden State Warriors",81,"Mon Apr 10 2017",NA,"Utah Jazz","L",NA,99,105,66,15,"L 1",NA
"82","Golden State Warriors",82,"Wed Apr 12 2017",NA,"Los Angeles Lakers","W",NA,109,94,67,15,"W 1",NA
"83","San Antonio Spurs",1,"Tue Oct 25 2016","@","Golden State Warriors","W",NA,129,100,1,0,"W 1",NA
"84","San Antonio Spurs",2,"Thu Oct 27 2016","@","Sacramento Kings","W",NA,102,94,2,0,"W 2",NA
"85","San Antonio Spurs",3,"Sat Oct 29 2016",NA,"New Orleans Pelicans","W",NA,98,79,3,0,"W 3",NA
"86","San Antonio Spurs",4,"Sun Oct 30 2016","@","Miami Heat","W",NA,106,99,4,0,"W 4",NA
"87","San Antonio Spurs",5,"Tue Nov 1 2016",NA,"Utah Jazz","L",NA,91,106,4,1,"L 1",NA
"88","San Antonio Spurs",6,"Fri Nov 4 2016","@","Utah Jazz","W",NA,100,86,5,1,"W 1",NA
"89","San Antonio Spurs",7,"Sat Nov 5 2016",NA,"Los Angeles Clippers","L",NA,92,116,5,2,"L 1",NA
"90","San Antonio Spurs",8,"Wed Nov 9 2016",NA,"Houston Rockets","L",NA,99,101,5,3,"L 2",NA
